Drug	Sample	Efficacy	Measurement	Value
Stelazine
trifluoperzine	ipn02.3	NA	TAUC	492.7357905
Methscopolamine bromide	ipn02.3	NA	TAUC	513.1891278
NSC-75503	ipn02.3	NA	TAUC	491.8998997
Cyclobenzaprine hydrochloride	ipn02.3	NA	TAUC	511.6187318
GANT61	ipn02.3	NA	TAUC	492.8798898
Ansamitocin P3	ipn02.3	NA	TAUC	49.55954017
Domperidone	ipn02.3	NA	TAUC	463.8347985
HLI-373989	ipn02.3	NA	TAUC	435.5711719
RG-108	ipn02.3	NA	TAUC	525.0708505
Cucurbitacin I	ipn02.3	NA	TAUC	377.4679474
Topotecan hydrochloride	ipn02.3	NA	TAUC	394.3623923
Carboxyamidotriazole	ipn02.3	NA	TAUC	551.9945942
Amoxapine	ipn02.3	NA	TAUC	532.1751212
Atropine	ipn02.3	NA	TAUC	511.1974348
INO-1001	ipn02.3	NA	TAUC	492.6794004
Amantadine hydrochloride	ipn02.3	NA	TAUC	453.7039027
Aminopterin	ipn02.3	NA	TAUC	261.4155156
Apigenin	ipn02.3	NA	TAUC	479.7903939
Tacrine hydrochloride	ipn02.3	NA	TAUC	496.4987895
Azathioprine	ipn02.3	NA	TAUC	404.1252365
Aciclovir	ipn02.3	NA	TAUC	525.3050268
Aspirin	ipn02.3	NA	TAUC	537.0292422
Arecoline	ipn02.3	NA	TAUC	539.5682799
Acetylcysteine	ipn02.3	NA	TAUC	489.5500482
Amiloride hydrochloride	ipn02.3	NA	TAUC	499.8075847
Aminocaproic acid	ipn02.3	NA	TAUC	548.3438625
Amiodarone	ipn02.3	NA	TAUC	499.243608
Altretamine	ipn02.3	NA	TAUC	531.9070222
Aminoglutethimide	ipn02.3	NA	TAUC	517.2174773
Aniracetam	ipn02.3	NA	TAUC	500.6453155
Phenoxybenzamine hydrochloride	ipn02.3	NA	TAUC	492.4796203
Bupropion hydrochloride	ipn02.3	NA	TAUC	476.0922795
O6-Benzylguanine	ipn02.3	NA	TAUC	481.6683903
Benzamil	ipn02.3	NA	TAUC	517.8054343
Buthionine sulphoximine	ipn02.3	NA	TAUC	501.3928337
Bumetanide	ipn02.3	NA	TAUC	491.8348956
Betaine	ipn02.3	NA	TAUC	507.4384905
Betaxolol hydrochloride	ipn02.3	NA	TAUC	529.6080851
Benserazide	ipn02.3	NA	TAUC	510.8175861
BRL-15572	ipn02.3	NA	TAUC	486.6277297
Carbidopa	ipn02.3	NA	TAUC	496.2446426
Chlormezanone	ipn02.3	NA	TAUC	511.2120166
Chlorambucil	ipn02.3	NA	TAUC	537.9946633
Carmustine	ipn02.3	NA	TAUC	537.8710946
PK-11195	ipn02.3	NA	TAUC	520.798988
Cilostazol	ipn02.3	NA	TAUC	505.2079271
Caffeine	ipn02.3	NA	TAUC	519.0115419
Cyclophosphamide	ipn02.3	NA	TAUC	546.6597863
Chelerythrine chloride	ipn02.3	NA	TAUC	463.4538951
Mitotane	ipn02.3	NA	TAUC	523.1769635
Calmidazolium chloride	ipn02.3	NA	TAUC	494.6240471
Chlorothiazide	ipn02.3	NA	TAUC	501.4611015
Bethanechol chloride	ipn02.3	NA	TAUC	520.4090941
Clotrimazole	ipn02.3	NA	TAUC	502.0897653
Cyproheptadine hydrochloride	ipn02.3	NA	TAUC	470.5993109
Clozapine	ipn02.3	NA	TAUC	488.7489149
Chloroquine (CQ)	ipn02.3	NA	TAUC	493.6920781
Clofibrate	ipn02.3	NA	TAUC	501.0557307
Clomipramine hydrochloride	ipn02.3	NA	TAUC	346.5398866
Citalopram hydrobromide	ipn02.3	NA	TAUC	518.6509515
Clonidine	ipn02.3	NA	TAUC	508.9443455
Carisoprodol	ipn02.3	NA	TAUC	490.6485832
Vanoxeamine	ipn02.3	NA	TAUC	456.8669593
Eflornithine Hydrochloride	ipn02.3	NA	TAUC	478.8459467
Dobutamine hydrochloride	ipn02.3	NA	TAUC	524.7952916
Diltiazem hydrochloride	ipn02.3	NA	TAUC	534.7696666
